barra,tension_kv,zona_geografica,contexto_topologico,tipo_contexto,rol_evidencia,resumen_contexto,estres_nodal,prioridad_operativa,prioridad_operativa_p90,ranking_estres_nodal,ranking_prioridad_operativa,score_revision,prioridad,robustez,dependencia_criterio,score_estabilidad,meses_top20_mensual,share_top20_mensual,zona_mensual,lectura_zona_mensual,soporte_evidencia,driver_principal,persistencia,meses_prioridad,meses_seguimiento,meses_score,cobertura_analitica,meses_fuente_coes,meses_observados,nota_cobertura,primer_mes,ultimo_mes,estado_publicacion,accion_recomendada,limite_interpretacion
ARICOTA2 138,138.0,Contexto geográfico pendiente de validación pública,ARICOTA II,Subestación de transmisión,Alias COES cerrado con evidencia,ARICOTA II a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,65.13,58.57,82.83,44,43,67.58,Señal condicionada,Baja dependencia,Baja dependencia,89.1891842823687,2,0.056,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,7,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
RECKA 220,220.0,Contexto geográfico pendiente de validación pública,LT RECKA-REQUE,línea/corredor de transmisión,Alias COES cerrado con evidencia,LT RECKA-REQUE a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,67.01,59.61,83.3,32,34,67.43,Señal condicionada,Baja dependencia,Baja dependencia,92.62783531831286,10,0.278,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,6,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PUCALLPA 138,138.0,Contexto geográfico pendiente de validación pública,PUCALLPA,Subestación de transmisión,Subestación o activo oficial,"PUCALLPA a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",63.09,58.3,80.06,54,45,67.4,Señal condicionada,Baja dependencia,Baja dependencia,88.42810981423852,6,0.167,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,4,16,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
RECKA 18,18.0,Contexto geográfico pendiente de validación pública,CT RECKA 18 KV,barra interna de generación,Alias COES cerrado con evidencia,CT RECKA 18 KV a 18.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,66.9,59.46,83.3,34,37,67.33,Señal condicionada,Baja dependencia,Baja dependencia,92.0208345352131,9,0.25,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,6,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CHILINA 33,33.0,Contexto geográfico pendiente de validación pública,CHILINA,Subestación de transmisión,Subestación o activo oficial,"CHILINA a 33.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",64.27,58.47,85.37,49,44,67.16,Señal condicionada,Baja dependencia,Baja dependencia,89.00411579663005,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Recurrente,7,14,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CUTERVO 138,138.0,Contexto geográfico pendiente de validación pública,CUTERVO,Subestación de transmisión,Subestación o activo oficial,"CUTERVO a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",63.75,59.01,82.2,51,41,67.13,Señal condicionada,Baja dependencia,Baja dependencia,89.70692319836127,5,0.139,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,6,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
COMBAPATA 138,138.0,Contexto geográfico pendiente de validación pública,COMBAPATA,Subestación de transmisión,Subestación o activo oficial,"COMBAPATA a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",63.35,58.1,86.53,52,47,67.08,Señal condicionada,Baja dependencia,Baja dependencia,87.97281012272965,4,0.111,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,7,14,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
BOTIFLACA 138,138.0,Contexto geográfico pendiente de validación pública,BOTIFLACA,Subestación de transmisión,Subestación o activo oficial,"BOTIFLACA a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",64.59,58.12,82.82,46,46,66.87,Señal condicionada,Baja dependencia,Baja dependencia,88.74877475065719,1,0.028,Entrada puntual a zona mensual,Tuvo una entrada puntual a la zona ejecutiva; revisar el mes antes de extraer una conclusion general.,A,Nivel de precio,Recurrente,7,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
REPARTICIÓN 138,138.0,Contexto geográfico pendiente de validación pública,REPARTICION,Subestación de transmisión,Subestación o activo oficial,"REPARTICION a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",63.15,57.93,84.05,53,48,66.86,Señal condicionada,Baja dependencia,Baja dependencia,81.69509132541589,1,0.028,Entrada puntual a zona mensual,Tuvo una entrada puntual a la zona ejecutiva; revisar el mes antes de extraer una conclusion general.,A,Nivel de precio,Recurrente,7,14,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ARICOTA 66,66.0,Contexto geográfico pendiente de validación pública,LT ARICOTA 1-ARICOTA 2,línea/corredor de transmisión,Alias COES cerrado con evidencia,LT ARICOTA 1-ARICOTA 2 a 66.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,64.18,57.69,81.01,50,49,66.18,Señal condicionada,Baja dependencia,Baja dependencia,87.91094393969875,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Recurrente,5,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
JAEN 138,138.0,Contexto geográfico pendiente de validación pública,NUEVA JAEN,Subestación de transmisión,Alias COES cerrado con evidencia,NUEVA JAEN a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,70.84,56.75,81.67,18,53,66.05,Señal condicionada,Baja dependencia,Baja dependencia,88.84458120147728,15,0.625,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,5,9,24,Cobertura analitica alta,36,24,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
LA BREA 220,220.0,Contexto geográfico pendiente de validación pública,LA BREA,Subestación de transmisión,Alias COES cerrado con evidencia,LA BREA a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,70.45,57.63,83.52,20,50,65.94,Señal condicionada,Baja dependencia,Baja dependencia,88.74822314703783,11,0.524,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,4,7,21,Cobertura analitica parcial,36,21,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
GUADALUPE 220,220.0,Contexto geográfico pendiente de validación pública,GUADALUPE,Subestación de transmisión,Subestación o activo oficial,"GUADALUPE a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",64.69,57.63,80.36,45,51,65.68,Señal condicionada,Baja dependencia,Baja dependencia,88.70473442257456,5,0.139,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,5,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
BIOENERGIA 13.8,13.8,Contexto geográfico pendiente de validación pública,BIOENERGIA DEL CHIRA / C.T. CAÑA BRAVA,barra interna de generación,"Barra local, industrial o generación","BIOENERGIA DEL CHIRA / C.T. CAÑA BRAVA a 13.8 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",61.12,55.51,82.29,63,61,65.04,Señal condicionada,Alta dependencia,Alta dependencia,58.74870055617075,4,0.111,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,6,14,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
AUCAYACU 138,138.0,Contexto geográfico pendiente de validación pública,AUCAYACU,Subestación de transmisión,Subestación o activo oficial,"AUCAYACU a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",59.63,56.29,79.68,70,56,65.02,Señal condicionada,Alta dependencia,Alta dependencia,55.885615628875016,3,0.083,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Recurrente,4,15,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CHILINA 138,138.0,Contexto geográfico pendiente de validación pública,TRAFO 138/33 KV SET CHILINA,lado de alta de transformador,Alias COES cerrado con evidencia,TRAFO 138/33 KV SET CHILINA a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,62.75,56.62,81.9,55,54,64.95,Señal condicionada,Alta dependencia,Alta dependencia,65.64664754583379,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Recurrente,6,13,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
LOS HEROES 66,66.0,Contexto geográfico pendiente de validación pública,LT LOS HEROES - PARQUE INDUSTRIAL,línea/corredor de transmisión,Alias COES cerrado con evidencia,LT LOS HEROES - PARQUE INDUSTRIAL a 66.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,62.63,56.86,79.66,57,52,64.32,Señal condicionada,Alta dependencia,Alta dependencia,66.17976433438784,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Recurrente,4,13,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ARICOTA1 66,66.0,Contexto geográfico pendiente de validación pública,ARICOTA I / ARICOTA 66,subestación y línea de transmisión,Alias COES cerrado con evidencia,ARICOTA I / ARICOTA 66 a 66.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,62.72,56.6,79.73,56,55,64.18,Señal condicionada,Alta dependencia,Alta dependencia,65.61357704857261,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Episódica,3,13,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MAZUCO138,138.0,Contexto geográfico pendiente de validación pública,MAZUKO,Subestación de transmisión,Alias COES cerrado con evidencia,MAZUKO a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,54.52,52.89,81.97,90,77,64.1,Señal condicionada,Alta dependencia,Alta dependencia,50.99452082564,7,0.194,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Volatilidad,Recurrente,6,13,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PLANTA SAN JACINTO 13.8,13.8,Contexto geográfico pendiente de validación pública,C.T. SAN JACINTO 13.8 KV,barra interna de generación,"Barra local, industrial o generación","C.T. SAN JACINTO 13.8 KV a 13.8 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",61.44,56.14,78.11,60,57,63.86,Señal condicionada,Alta dependencia,Alta dependencia,62.75649795109863,3,0.083,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Episódica,3,14,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CERRO VERDE 138,138.0,Contexto geográfico pendiente de validación pública,CERRO VERDE,Subestación de transmisión,Alias COES cerrado con evidencia,CERRO VERDE a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,61.24,55.79,80.46,62,58,63.44,Señal condicionada,Alta dependencia,Alta dependencia,54.96779269838081,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Recurrente,4,12,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CARHUAQUERO 220,220.0,Contexto geográfico pendiente de validación pública,CARHUAQUERO,Subestación de transmisión,Alias COES cerrado con evidencia,CARHUAQUERO a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,60.1,54.95,78.37,67,63,63.09,Señal condicionada,Alta dependencia,Alta dependencia,54.52959346030427,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Episódica,3,14,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CAJAMARCA 220,220.0,Contexto geográfico pendiente de validación pública,CAJAMARCA NORTE,Subestación de transmisión,Alias COES cerrado con evidencia,CAJAMARCA NORTE a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,60.71,55.52,78.15,64,60,62.83,Señal condicionada,Alta dependencia,Alta dependencia,55.08880943593908,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Episódica,3,13,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TRUJILLO 220,220.0,Contexto geográfico pendiente de validación pública,TRUJILLO NORTE,Subestación de transmisión,Alias COES cerrado con evidencia,TRUJILLO NORTE a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,61.71,55.11,76.58,59,62,62.69,Señal condicionada,Alta dependencia,Alta dependencia,55.8316239154896,3,0.083,Zona mensual episodica,Entra en la zona ejecutiva algunos meses; se interpreta como episodio o sensibilidad temporal.,A,Nivel de precio,Episódica,1,13,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
LOS HEROES 220,220.0,Contexto geográfico pendiente de validación pública,LOS HEROES,Subestación de transmisión,Alias COES cerrado con evidencia,LOS HEROES a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,61.37,55.73,77.57,61,59,62.64,Señal condicionada,Alta dependencia,Alta dependencia,55.37255425868298,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Episódica,2,12,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SANTUARIO 138,138.0,Contexto geográfico pendiente de validación pública,SANTUARIO,Subestación de transmisión,Subestación o activo oficial,"SANTUARIO a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",60.43,54.41,79.55,65,66,62.5,Señal condicionada,Alta dependencia,Alta dependencia,53.65263751816261,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Recurrente,4,12,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MOQUEGUA 138,138.0,Contexto geográfico pendiente de validación pública,MOQUEGUA,Subestación de transmisión,Alias COES cerrado con evidencia,MOQUEGUA a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,60.22,54.57,76.21,66,65,61.5,Señal condicionada,Alta dependencia,Alta dependencia,54.09128431619058,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Episódica,2,12,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
